index,label
0,4
1,2
2,4
3,4
4,4
5,4
6,4
7,2
8,4
9,4
10,4
11,4
12,2
13,2
14,4
15,4
16,6
17,0
18,4
19,4
20,4
21,4
22,4
23,4
24,6
25,4
26,4
27,4
28,2
29,4
30,4
31,4
32,4
33,5
34,2
35,4
36,4
37,2
38,2
39,4
40,6
41,4
42,4
43,4
44,4
45,4
46,4
47,0
48,4
49,2
50,4
51,4
52,0
53,4
54,4
55,4
56,0
57,4
58,4
59,2
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,3
72,4
73,4
74,3
75,4
76,2
77,4
78,4
79,4
80,4
81,4
82,1
83,4
84,4
85,4
86,4
87,4
88,3
89,4
90,4
91,4
92,4
93,1
94,5
95,2
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,3
107,4
108,2
109,4
110,4
111,4
112,4
113,6
114,4
115,4
116,4
117,0
118,4
119,4
120,4
121,4
122,4
123,2
124,4
125,6
126,4
127,4
128,6
129,6
130,2
131,4
132,4
133,4
134,6
135,4
136,6
137,4
138,6
139,4
140,2
141,4
142,4
143,4
144,2
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,2
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,6
164,4
165,4
166,4
167,4
168,7
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,2
181,4
182,4
183,4
184,6
185,4
186,4
187,4
188,2
189,6
190,4
191,2
192,4
193,4
194,2
195,2
196,4
197,2
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,6
206,2
207,4
208,2
209,1
210,4
211,6
212,4
213,2
214,4
215,4
216,2
217,6
218,2
219,2
220,4
221,3
222,4
223,4
224,6
225,4
226,4
227,4
228,3
229,6
230,5
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,4
252,6
253,4
254,4
255,4
256,4
257,4
258,4
259,2
260,4
261,2
262,0
263,4
264,4
265,6
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,6
277,6
278,4
279,4
280,7
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,2
295,1
296,4
297,4
298,4
299,4
300,4
301,6
302,0
303,4
304,4
305,0
306,4
307,4
308,4
309,6
310,4
311,4
312,5
313,2
314,6
315,4
316,4
317,4
318,3
319,4
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,6
335,4
336,4
337,4
338,1
339,6
340,4
341,4
342,0
343,4
344,0
345,4
346,4
347,4
348,4
349,4
350,4
351,4
352,3
353,0
354,2
355,4
356,4
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,3
370,4
371,4
372,4
373,4
374,4
375,4
376,4
377,6
378,4
379,2
380,3
381,2
382,4
383,0
384,2
385,4
386,4
387,4
388,0
389,2
390,4
391,0
392,4
393,2
394,4
395,1
396,4
397,4
398,4
399,4
400,4
401,2
402,4
403,4
404,4
405,4
406,4
407,4
408,4
409,4
410,0
411,4
412,4
413,6
414,4
415,4
416,4
417,4
418,4
419,4
420,4
421,4
422,6
423,4
424,4
425,4
426,2
427,2
428,4
429,7
430,4
431,4
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,4
440,4
441,4
442,4
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,4
452,4
453,0
454,4
455,4
456,4
457,4
458,4
459,4
460,4
461,5
462,4
463,4
464,4
465,4
466,4
467,4
468,6
469,4
470,4
471,4
472,4
473,2
474,4
475,0
476,0
477,1
478,1
479,4
480,4
481,0
482,4
483,4
484,4
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,4
493,4
494,2
495,4
496,4
497,4
498,4
499,1
500,2
501,4
502,4
503,4
504,4
505,4
506,4
507,6
508,4
509,4
510,5
511,4
512,4
513,4
514,4
515,4
516,4
517,6
518,4
519,4
520,6
521,4
522,4
523,4
524,4
525,4
526,6
527,4
528,2
529,4
530,4
531,4
532,4
533,4
534,4
535,0
536,4
537,4
538,4
539,3
540,0
541,2
542,4
543,1
544,4
545,4
546,4
547,4
548,4
549,4
550,4
551,4
552,2
553,4
554,4
555,4
556,0
557,4
558,7
559,4
560,4
561,4
562,4
563,6
564,4
565,4
566,4
567,4
568,4
569,2
570,2
571,2
572,4
573,4
574,4
575,4
576,4
577,4
578,4
579,2
580,4
581,0
582,4
583,7
584,5
585,4
586,4
587,4
588,4
589,4
590,4
591,1
592,4
593,4
594,4
595,4
596,4
597,4
598,4
599,6
600,4
601,4
602,4
603,2
604,4
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
613,2
614,4
615,4
616,7
617,4
618,4
619,4
620,4
621,4
622,4
623,4
624,4
625,4
626,3
627,3
628,4
629,0
630,4
631,2
632,4
633,4
634,6
635,4
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,4
646,4
647,4
648,4
649,4
650,2
651,4
652,4
653,4
654,4
655,4
656,4
657,2
658,2
659,2
660,4
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,2
669,0
670,4
671,4
672,6
673,1
674,4
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,4
683,4
684,0
685,4
686,4
687,4
688,4
689,4
690,4
691,4
692,4
693,4
694,2
695,4
696,0
